game_play,gameId,playId,quarter,GameClock,down,yardsToGo,possessionTeam,yardlineSide,yardlineNumber,offenseFormation,personnel.offense,defendersInTheBox,numberOfPassRushers,personnel.defense,HomeScoreBeforePlay,VisitorScoreBeforePlay,HomeScoreAfterPlay,VisitorScoreAfterPlay,isPenalty,isSTPlay,SpecialTeamsPlayType,KickReturnYardage,PassLength,PassResult,YardsAfterCatch,PlayResult,playDescription,game_id,play_id,posteam,defteam,home_team,away_team,ep,wp,epa,wpa,yardline_100,yards_gained,air_yards,yards_after_catch,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,frame.id,x,y,snap_frame,snap_x,snap_y,end_frame,end_x,end_y,target_x
2017091004_1030,2017091004,1030,2,15:00:00,3,7,DET,DET,20,SHOTGUN,"1 RB, 2 TE, 2 WR",6,4,"2 DL, 3 LB, 6 DB",0,10,0,10,TRUE,FALSE,NA,NA,16,C,2,18,"(15:00) (Shotgun) M.Stafford pass deep middle to G.Tate to DET 38 for 18 yards (T.Branch). Penalty on ARZ-P.Peterson, Defensive Holding, declined.",2017091004,1030,DET,ARI,DET,ARI,-0.8949274213875098,0.17558082072061396,3.054536585553387,0.07829664412828105,80,18,16,2,00-0026498,M.Stafford,00-0027891,G.Tate,56,74.58,21.38,15,90.61,29.87,82,72.04,29.02,0
2017091004_1086,2017091004,1086,2,14:01:00,2,7,DET,DET,41,SHOTGUN,"1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB",0,10,0,10,FALSE,FALSE,NA,NA,4,C,2,6,"(14:01) (No Huddle, Shotgun) M.Stafford pass short middle to G.Tate to DET 47 for 6 yards (H.Reddick).",2017091004,1086,DET,ARI,DET,ARI,1.9167193060349268,0.2461614485722024,0.7106967145994192,0.02145184239069614,59,6,4,2,00-0026498,M.Stafford,00-0027891,G.Tate,41,66.63,25.96,15,68.88,24.2,77,63.46,21.47,0
2017091004_1110,2017091004,1110,2,13:16:00,3,1,DET,DET,47,EMPTY,"1 RB, 1 TE, 3 WR",5,4,"2 DL, 4 LB, 5 DB",0,10,0,10,FALSE,FALSE,NA,NA,-1,C,0,-1,"(13:16) (No Huddle, Shotgun) M.Stafford pass short left to T.Riddick to DET 46 for -1 yards (H.Reddick).",2017091004,1110,DET,ARI,DET,ARI,2.627416020634346,0.26761329096289854,-2.475829274798939,-0.06956810691609205,53,-1,-1,0,00-0026498,M.Stafford,00-0030107,T.Riddick,37,65.63,9.41,15,63.68,23.92,60,70.87,4.62,0
2017091004_1200,2017091004,1200,2,11:53:00,3,7,ARI,ARI,25,SHOTGUN,"1 RB, 1 TE, 3 WR",6,6,"4 DL, 1 LB, 6 DB",0,10,0,10,FALSE,FALSE,NA,NA,6,C,27,33,(11:53) (Shotgun) C.Palmer pass short middle to L.Fitzgerald pushed ob at DET 42 for 33 yards (Q.Diggs).,2017091004,1200,ARI,DET,DET,ARI,-0.3683099940665193,0.7603184183129132,3.823949688667401,0.09038272170627193,75,33,6,27,00-0021429,C.Palmer,00-0022921,L.Fitzgerald,48,40.98,24.61,15,34.62,29.92,102,73.32,60.24,120
2017091004_1363,2017091004,1363,2,09:47:00,2,15,DET,ARI,47,SHOTGUN,"1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB",0,10,0,10,FALSE,FALSE,NA,NA,1,C,2,3,"(9:47) (No Huddle, Shotgun) M.Stafford pass short right to A.Abdullah to ARZ 44 for 3 yards (H.Reddick).",2017091004,1363,DET,ARI,DET,ARI,2.412408218117797,0.26860739645135134,-0.5635619722940519,-0.014813004182016642,47,3,1,2,00-0026498,M.Stafford,00-0032104,A.Abdullah,41,59.5,39.28,15,57.36,29.54,65,54.05,54.93,0
2017091004_1457,2017091004,1457,2,07:33:00,3,5,DET,ARI,24,SHOTGUN,"1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB",0,10,0,10,FALSE,FALSE,NA,NA,5,C,0,5,"(7:33) (No Huddle, Shotgun) M.Stafford pass short right to E.Ebron to ARZ 19 for 5 yards (T.Branch).",2017091004,1457,DET,ARI,DET,ARI,3.1976242347363586,0.30264198363084455,1.0616710445907147,0.037399415168509864,24,5,5,0,00-0026498,M.Stafford,00-0031387,E.Ebron,44,30.29,39.54,15,34.7,26.76,58,27.89,36.95,0
2017091004_1481,2017091004,1481,2,07:09:00,1,10,DET,ARI,19,SHOTGUN,"1 RB, 1 TE, 3 WR",6,3,"2 DL, 4 LB, 5 DB",0,10,0,10,FALSE,FALSE,NA,NA,5,C,1,6,"(7:09) (No Huddle, Shotgun) M.Stafford pass short middle to G.Tate to ARZ 13 for 6 yards (K.Dansby).",2017091004,1481,DET,ARI,DET,ARI,4.259295279327073,0.3400413987993544,-0.03141163777719669,-1.302648127440298e-4,19,6,5,1,00-0026498,M.Stafford,00-0027891,G.Tate,40,24.96,27.82,15,28.72,29.94,50,21.87,26.14,0
2017091004_1570,2017091004,1570,2,04:30:00,2,6,DET,ARI,6,SHOTGUN,"1 RB, 2 TE, 2 WR",7,4,"3 DL, 4 LB, 4 DB",0,10,6,10,FALSE,FALSE,NA,NA,6,C,0,6,"(4:30) (No Huddle, Shotgun) M.Stafford pass short left to M.Jones for 6 yards, TOUCHDOWN.",2017091004,1570,DET,ARI,DET,ARI,4.879338573955954,0.36070996361261176,2.1206614260440464,0.06941517410629416,6,6,6,0,00-0026498,M.Stafford,00-0029293,M.Jones,79,7.78,2.46,15,15.93,23.98,91,11.07,0.8,0
2017091004_1790,2017091004,1790,2,03:15:00,2,14,DET,DET,34,EMPTY,"1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB",6,10,6,10,FALSE,FALSE,NA,NA,4,C,1,5,(3:15) (Shotgun) M.Stafford pass short right to G.Tate to DET 39 for 5 yards (J.Bynes).,2017091004,1790,DET,ARI,DET,ARI,0.697467114109132,0.41944452726277515,-0.19360947378713889,-0.00767366331401087,66,5,4,1,00-0026498,M.Stafford,00-0027891,G.Tate,32,75.01,30.01,15,75.87,24.24,58,71.21,30.41,0
2017091004_1814,2017091004,1814,2,02:31:00,3,9,DET,DET,39,SHOTGUN,"1 RB, 1 TE, 3 WR",5,4,"2 DL, 4 LB, 5 DB",6,10,6,10,FALSE,FALSE,NA,NA,1,C,0,1,"(2:31) (No Huddle, Shotgun) M.Stafford pass short right to T.Riddick to DET 40 for 1 yard (T.Branch) [C.Peters].",2017091004,1814,DET,ARI,DET,ARI,0.5038576403219931,0.4117708639487643,-0.792038326171798,-0.027248226423182864,61,1,1,0,00-0026498,M.Stafford,00-0030107,T.Riddick,60,70.27,35.04,15,71.6,29.64,81,74.21,36.89,120
2017091004_1900,2017091004,1900,2,01:49:00,2,10,ARI,ARI,30,SHOTGUN,"1 RB, 1 TE, 3 WR",6,5,"4 DL, 2 LB, 5 DB",6,10,6,10,FALSE,FALSE,NA,NA,12,C,0,12,(1:49) (Shotgun) C.Palmer pass short right to J.Brown to ARZ 42 for 12 yards (N.Lawson).,2017091004,1900,ARI,DET,DET,ARI,0.8528800625583853,0.6253195822088894,0.7131695600725784,0.02520905703273102,70,12,12,0,00-0021429,C.Palmer,00-0031051,J.Brown,53,53.31,15.49,15,39.93,23.81,72,51,20.49,120
2017091004_1924,2017091004,1924,2,01:30:00,1,10,ARI,ARI,42,SHOTGUN,"1 RB, 1 TE, 3 WR",6,4,"4 DL, 2 LB, 5 DB",6,10,6,10,FALSE,FALSE,NA,NA,11,C,0,11,"(1:30) (No Huddle, Shotgun) C.Palmer pass short right to J.Brown ran ob at DET 47 for 11 yards.",2017091004,1924,ARI,DET,DET,ARI,1.5660496226309637,0.6505286392416204,0.49815070527362515,0.01777479284271044,58,11,11,0,00-0021429,C.Palmer,00-0031051,J.Brown,53,62.33,0.19,15,51.97,23.61,65,62.05,-1.26,120
2017091004_1958,2017091004,1958,2,01:25:00,1,10,ARI,DET,47,SHOTGUN,"1 RB, 1 TE, 3 WR",6,4,"4 DL, 2 LB, 5 DB",6,10,6,10,FALSE,FALSE,NA,NA,12,C,6,18,"(1:25) (No Huddle, Shotgun) C.Palmer pass short middle to L.Fitzgerald to DET 29 for 18 yards (G.Quin).",2017091004,1958,ARI,DET,DET,ARI,2.064200327904589,0.6683034320843309,0.8121760457178793,0.032264519204079134,47,18,12,6,00-0021429,C.Palmer,00-0022921,L.Fitzgerald,53,74.65,29.13,15,62.99,23.95,79,81.57,32.51,120
2017091004_2081,2017091004,2081,2,01:04:00,3,7,ARI,DET,23,SHOTGUN,"1 RB, 1 TE, 3 WR",7,5,"4 DL, 1 LB, 6 DB",6,10,6,10,FALSE,FALSE,NA,NA,9,C,0,9,(1:04) (Shotgun) C.Palmer pass short right to J.Brown ran ob at DET 14 for 9 yards.,2017091004,2081,ARI,DET,DET,ARI,2.4105005843923983,0.6843500729683265,0.9996587641961159,0.03813147919854176,23,9,9,0,00-0021429,C.Palmer,00-0031051,J.Brown,50,95.44,4.56,15,86.95,29.49,66,95.91,-1.32,120
2017091004_2208,2017091004,2208,2,00:39:00,1,10,DET,DET,22,SHOTGUN,"1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB",6,10,6,10,FALSE,FALSE,NA,NA,1,C,12,13,(:39) (Shotgun) M.Stafford pass short middle to T.Riddick to DET 35 for 13 yards (P.Peterson; T.Branch).,2017091004,2208,DET,ARI,DET,ARI,0.6469361779428103,0.4177605660639094,0.44290903594813946,0.018553057095540615,78,13,1,12,00-0026498,M.Stafford,00-0030107,T.Riddick,48,87.98,29.72,15,88.21,24.19,93,74.96,24.85,0
2017091004_2293,2017091004,2293,2,00:24:00,3,10,DET,DET,35,SHOTGUN,"1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB",6,10,6,10,FALSE,FALSE,NA,NA,11,C,8,19,(:24) (Shotgun) M.Stafford pass short middle to G.Tate to ARZ 46 for 19 yards (A.Bethea).,2017091004,2293,DET,ARI,DET,ARI,0.5873473266211527,0.41972568289147977,1.264061763799738,0.04515274728233931,65,19,11,8,00-0026498,M.Stafford,00-0027891,G.Tate,50,65.25,23.97,15,75.29,23.89,89,55.58,18.51,0
2017091004_2378,2017091004,2378,2,00:08:00,3,10,DET,ARI,46,SHOTGUN,"1 RB, 1 TE, 3 WR",5,4,"2 DL, 4 LB, 5 DB",6,10,6,10,FALSE,FALSE,NA,NA,2,C,4,6,(:08) (Shotgun) M.Stafford pass short middle to A.Abdullah to ARZ 40 for 6 yards (K.Dansby).,2017091004,2378,DET,ARI,DET,ARI,1.23979156100452,0.4452239526610472,0.06772856259548243,0.006234567090877718,46,6,2,4,00-0026498,M.Stafford,00-0032104,A.Abdullah,47,58.67,24.18,15,56.17,23.77,67,49.64,21.03,0
2017091004_2502,2017091004,2502,3,14:26:00,2,10,DET,DET,25,I_FORM,"1 RB, 2 TE, 2 WR",7,4,"3 DL, 3 LB, 5 DB",9,10,9,10,FALSE,FALSE,NA,NA,0,C,4,4,(14:26) (No Huddle) M.Stafford pass short right to E.Ebron to DET 29 for 4 yards (J.Bynes).,2017091004,2502,DET,ARI,DET,ARI,0.05277046701853649,0.4926665516919969,-0.28491808649213457,-0.010164868560070539,75,4,0,4,00-0026498,M.Stafford,00-0031387,E.Ebron,44,87.09,37.87,15,84.97,29.19,78,80.33,52.15,0
2017091004_2526,2017091004,2526,3,13:41:00,3,6,DET,DET,29,SHOTGUN,"1 RB, 1 TE, 3 WR",6,5,"2 DL, 4 LB, 5 DB",9,10,9,10,FALSE,FALSE,NA,NA,7,C,4,11,"(13:41) (No Huddle, Shotgun) M.Stafford pass short middle to G.Tate to DET 40 for 11 yards (T.Branch).",2017091004,2526,DET,ARI,DET,ARI,-0.23214761947359808,0.4825016831319264,2.4351385461481607,0.07657869942414325,71,11,7,4,00-0026498,M.Stafford,00-0027891,G.Tate,49,74.84,34.84,15,81.4,29.92,79,71.06,43.4,0
2017091004_2571,2017091004,2571,3,12:24:00,2,8,DET,DET,42,EMPTY,"1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB",9,10,9,10,FALSE,FALSE,NA,NA,4,C,1,5,"(12:24) (No Huddle, Shotgun) M.Stafford pass short right to K.Golladay to DET 47 for 5 yards (J.Bethel).",2017091004,2571,DET,ARI,DET,ARI,1.8124970971763634,0.5454216880088866,0.07600871135140519,0.0017626854517830415,58,5,4,1,00-0026498,M.Stafford,00-0033932,K.Golladay,45,63.98,37.21,15,68.38,29.71,62,60.32,31.17,0
2017091004_2661,2017091004,2661,3,10:53:00,2,7,ARI,ARI,9,SHOTGUN,"1 RB, 1 TE, 3 WR",7,5,"4 DL, 2 LB, 5 DB",9,10,9,10,FALSE,FALSE,NA,NA,-4,C,20,16,(10:53) (Shotgun) C.Palmer pass short left to Da.Johnson to ARZ 25 for 16 yards (D.Hayden) [T.Whitehead].,2017091004,2661,ARI,DET,DET,ARI,-1.2741662452350468,0.4450379380386783,2.172996927494606,0.06858684559451544,91,16,-4,20,00-0021429,C.Palmer,00-0032187,Da.Johnson,44,13.97,38.58,15,18.53,29.69,104,34.88,43.23,120
2017091004_2786,2017091004,2786,3,08:49:00,2,10,ARI,DET,46,SINGLEBACK,"1 RB, 1 TE, 3 WR",6,4,"4 DL, 2 LB, 5 DB",9,10,9,10,FALSE,FALSE,NA,NA,14,C,0,14,(8:49) (Shotgun) C.Palmer pass short left to J.Nelson to DET 32 for 14 yards (D.Hayden).,2017091004,2786,ARI,DET,DET,ARI,2.694209868454114,0.5724143898294799,1.2973588216292917,0.04633239841562953,46,14,14,0,00-0021429,C.Palmer,00-0032112,J.Nelson,57,78.6,49.11,15,63.19,29.88,71,76.07,52.99,120
2017091004_2810,2017091004,2810,3,08:28:00,1,10,ARI,DET,32,SINGLEBACK,"1 RB, 1 TE, 3 WR",7,4,"4 DL, 2 LB, 5 DB",9,10,9,10,FALSE,FALSE,NA,NA,0,C,0,0,(8:28) (No Huddle) C.Palmer pass short right to J.Brown to DET 32 for no gain (D.Slay).,2017091004,2810,ARI,DET,DET,ARI,3.9915686900834055,0.6187467882451094,-0.4712636112994639,-0.017433078162929494,32,0,0,0,00-0021429,C.Palmer,00-0031051,J.Brown,30,77.51,13.26,15,77.86,29.73,51,77.67,12.23,60
2017091004_2834,2017091004,2834,3,07:46:00,2,10,ARI,DET,32,SINGLEBACK,"1 RB, 0 TE, 4 WR",6,4,"4 DL, 2 LB, 5 DB",9,10,9,10,FALSE,FALSE,NA,NA,2,C,6,8,(7:46) C.Palmer pass short middle to Da.Johnson to DET 24 for 8 yards (Q.Diggs).,2017091004,2834,ARI,DET,DET,ARI,3.5203050787839416,0.6013137100821799,0.20421551448434272,0.007163251070342214,32,8,2,6,00-0021429,C.Palmer,00-0032187,Da.Johnson,50,78.81,30.28,15,77.79,23.68,87,86.52,38.47,120
2017091004_2858,2017091004,2858,3,07:01:00,3,2,ARI,DET,24,SHOTGUN,"1 RB, 1 TE, 3 WR",7,4,"4 DL, 2 LB, 5 DB",9,10,9,10,FALSE,FALSE,NA,NA,3,C,4,7,(7:01) (Shotgun) C.Palmer pass short left to L.Fitzgerald ran ob at DET 17 for 7 yards (J.Davis).,2017091004,2858,ARI,DET,DET,ARI,3.7245205932682843,0.6084769611525221,0.7955094401659473,0.029417703324995714,24,7,3,4,00-0021429,C.Palmer,00-0022921,L.Fitzgerald,50,88.04,36.27,15,86.26,29.76,96,92.27,57.81,120
2017091004_2935,2017091004,2935,3,06:04:00,2,20,ARI,DET,27,SHOTGUN,"1 RB, 1 TE, 3 WR",6,4,"4 DL, 2 LB, 5 DB",9,10,9,10,FALSE,FALSE,NA,NA,19,C,5,24,(6:04) (Shotgun) C.Palmer pass deep left to Da.Johnson to DET 3 for 24 yards (G.Quin). ARZ-Da.Johnson was injured during the play. His return is Questionable.,2017091004,2935,ARI,DET,DET,ARI,3.529137977923056,0.6008651289027757,2.5137023627019675,0.09428657009653496,27,24,19,5,00-0021429,C.Palmer,00-0032187,Da.Johnson,60,99.48,44.55,15,82.78,29.63,83,108.02,49.72,120
2017091004_3019,2017091004,3019,3,05:32:00,1,10,DET,DET,16,SINGLEBACK,"1 RB, 1 TE, 3 WR",7,5,"3 DL, 3 LB, 5 DB",9,17,9,17,FALSE,FALSE,NA,NA,20,C,11,31,(5:32) M.Stafford pass deep right to M.Jones pushed ob at DET 47 for 31 yards (T.Branch).,2017091004,3019,DET,ARI,DET,ARI,0.0988020767779989,0.24225354735658938,2.73394423082917,0.09273811823367972,84,31,20,11,00-0026498,M.Stafford,00-0029293,M.Jones,63,76.14,50.23,15,94.15,29.93,113,56.18,54.91,0
2017091004_3199,2017091004,3199,3,03:15:00,2,7,DET,ARI,7,SHOTGUN,"1 RB, 1 TE, 3 WR",6,4,"3 DL, 3 LB, 5 DB",9,17,15,17,FALSE,FALSE,NA,NA,2,C,5,7,"(3:15) (Shotgun) M.Stafford pass short middle to T.Riddick for 7 yards, TOUCHDOWN. The Replay Official reviewed the runner was not down by contact ruling, and the play was Upheld. The ruling on the field was confirmed.",2017091004,3199,DET,ARI,DET,ARI,5.026361546759002,0.40901434452929203,1.9736384532409978,0.06513829547642458,7,7,2,5,00-0026498,M.Stafford,00-0030107,T.Riddick,51,13.56,24.12,15,12.56,20.21,81,13.58,24.02,120
2017091004_3254,2017091004,3254,3,03:07:00,1,10,ARI,ARI,25,SINGLEBACK,"1 RB, 1 TE, 3 WR",7,4,"4 DL, 2 LB, 5 DB",15,17,15,17,FALSE,FALSE,NA,NA,5,C,3,8,(3:07) C.Palmer pass short middle to J.Gresham to ARZ 33 for 8 yards (J.Davis).,2017091004,3254,ARI,DET,DET,ARI,1.0054465606867653,0.5444778908645537,0.8322898075138043,0.02991141545901055,75,8,5,3,00-0021429,C.Palmer,00-0027873,J.Gresham,43,38.46,25.85,15,34.65,26.39,66,42.96,26.49,120
2017091004_3368,2017091004,3368,3,00:04:00,2,14,ARI,ARI,31,SINGLEBACK,"1 RB, 0 TE, 4 WR",6,5,"4 DL, 1 LB, 6 DB",15,17,15,17,FALSE,FALSE,NA,NA,8,C,0,8,(:04) C.Palmer pass short left to J.Nelson to ARZ 39 for 8 yards (N.Lawson).,2017091004,3368,ARI,DET,DET,ARI,0.700432586951196,0.533995925998461,0.23069255097855468,0.008424833044783697,69,8,8,0,00-0021429,C.Palmer,00-0032112,J.Nelson,46,47.72,40.9,15,40.86,29.33,64,43.74,42.93,120
2017091004_3507,2017091004,3507,4,13:35:00,2,14,DET,DET,29,SHOTGUN,"1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB",15,17,15,17,FALSE,FALSE,NA,NA,-1,C,5,4,"(13:35) (No Huddle, Shotgun) M.Stafford pass short left to G.Tate to DET 33 for 4 yards (K.Dansby; A.Bethea).",2017091004,3507,DET,ARI,DET,ARI,0.5279637330274474,0.45690796788460275,-0.41596176126634976,-0.015185325996269705,71,4,-1,5,00-0026498,M.Stafford,00-0027891,G.Tate,33,36.58,34.59,15,38.36,23.85,70,42.48,41.47,120
2017091004_3531,2017091004,3531,4,12:53:00,3,10,DET,DET,33,SHOTGUN,"1 RB, 1 TE, 3 WR",4,5,"1 DL, 3 LB, 7 DB",15,17,15,17,FALSE,FALSE,NA,NA,16,C,0,16,"(12:53) (No Huddle, Shotgun) M.Stafford pass deep right to T.Jones to DET 49 for 16 yards (J.Bethel).",2017091004,3531,DET,ARI,DET,ARI,0.11200197176109761,0.44172264188833305,2.817776297724488,0.11618259743232945,67,16,16,0,00-0026498,M.Stafford,00-0031189,T.Jones,54,57.08,16.39,15,42.99,29.94,72,58.69,19.89,120
2017091004_3572,2017091004,3572,4,12:06:00,1,10,DET,DET,49,SHOTGUN,"1 RB, 1 TE, 3 WR",6,5,"2 DL, 4 LB, 5 DB",15,17,15,17,TRUE,FALSE,NA,NA,10,C,7,17,"(12:06) (Shotgun) M.Stafford pass short right to G.Tate to ARZ 34 for 17 yards (T.Mathieu). Penalty on ARZ-H.Reddick, Illegal Use of Hands, declined.",2017091004,3572,DET,ARI,DET,ARI,2.9297782694855856,0.5579052393206625,0.9409459424907634,0.037502540269121254,51,17,10,7,00-0026498,M.Stafford,00-0027891,G.Tate,50,68.13,18.62,15,58.8,23.77,81,78.37,3.42,120
2017091004_3628,2017091004,3628,4,11:03:00,2,6,DET,ARI,30,SHOTGUN,"1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB",15,17,15,17,FALSE,FALSE,NA,NA,16,C,0,16,(11:03) (Shotgun) M.Stafford pass deep left to T.Jones ran ob at ARZ 14 for 16 yards.,2017091004,3628,DET,ARI,DET,ARI,3.7348008968955986,0.5923304443654117,0.8213690908605065,0.03310485523386952,30,16,16,0,00-0026498,M.Stafford,00-0031189,T.Jones,61,91.56,48.91,15,79.29,23.67,76,95,58.97,120
